ᎫᎴ|gu2le
ᏄᏛᏁᎸ|nudṿnẹlv²³ɂi
ᎠᏛᏁᎵᏍᎩ|a.2dv1ne23li4sgi
ᎠᏓᏫ|A23da.3wi
ᏚᏂᏰᎵᏒ|du1ni2ye2li2sv23?i
ᎤᏔᎾ|u23ta.2na
ᏗᎦᏃᏣᎸᏗ|di.2ga.2no23jahl2di
ᏚᏓᏂᎸᏨ|du1da.2ni2lv3jv23?i
ᏗᎦᎶᎪᏗ|di.2ga.2lo2go1di
ᎤᏃᎴ|u2no2le
ᎤᏠᏱ|u2hlo4yi
ᏗᎪᏏᏐᏗ|di.2go1si23soh3di
ᏧᎳᏍᎩ|ju2la1sgi
ᏅᏙᏗᏎᏍᏗ|nṿdọdịsẹsdi
ᎤᏩᏒ|u1hwa.2sv3?i
ᎦᏳᎳ|ga3yu2la
ᏂᎪᎯᎸᎢ|nịgohịlṿɂi
ᎠᎴ|a.2le
ᏄᏓᎴ|nu23da.3le4?i
ᏙᏒᏓᎵ|do2sv23da.?3li
ᏕᎧᏅᏑᎸ|de23ka.3nv3su2lv?i
ᏒᎦᏔ|sv23kta
ᎠᏞᏌᏙ|a.2dle1sa.2do
ᏗᏎᏍᏗ|di2se.3sdi
ᎧᏃᎨᏂ|ka.2no2ge4ni
ᏚᎴᏅ|du1le2hnv23?i
ᎤᎷᏨᎢ|u1luh3jv23?i
ᎤᎷᏨ|u1luh3jv23?i
ᎦᎷᎦ|ga.?3luh2ga
ᎤᏓᎸᏉᏗ|u2da2lv4kwdi
ᎦᏟᏓ|ga3hli.2da
ᎪᏍᏚ|ko1sdu
ᎠᏕᎰᏍᎦ|a1de2ho23sga
ᎤᏓᏛᏛᏅ|udạtv³dvhnv²³ɂi
ᎠᏛᏛᎲᏍᎦ|a1tv23dv3hv.2sga
ᎤᎾᎵᎪᏒ|u1na.2li3go1sv23?i
ᎢᎬᏱᎢ|i.2gv2yi4?i
ᎤᏔᏲᏎᎸ|uhtạyọ³sẹɂlv²³ɂi
ᎾᎯᏳᎢ|na1hi.2yu4?i
ᏗᎾᏘᏲᎯᎯ|di2na.2ti.2yo23hi.2hi
ᎦᎶᏂ|Ga.?2lo2hni
ᎦᎳᏅᏛ|ga.2la.2nv2dv4?i
ᏚᏓᏅᏗᏍᏔᏅ|du1da.2nv23di32sta.2nv23?i
ᎦᎷᏯᏍᏗ|ga.2luy1sdi
ᎦᏐᎯ|ga2so.2hi4?i
ᎤᏲᎢ|u2yo4?i
ᎠᎳᏍᎦᎶᏗ|alsgahldi
ᏗᏓᏬᏍᎩ|Di2da2wo4sgi
ᏗᏓᏬᏍᏗ|di2da.2wo1sdi4?i
ᏗᏓᏍᏙᏰᏍᎩ|di2da2sdo2ye4sgi
ᎤᏰᎸᎭ|uyeh³lvha
ᎤᏯᎸ|u1hya.2lv23?i
ᏒᏙᏂ|sv2do2ni
ᏧᏒᏙᏂ|ju2sv2do4ni
ᎭᏫᏂ|ha.2wi4ni
ᎤᏕᎰᏌᏘ|u2de.2ho23sa.2ti
ᎠᏟᏍᏙᏗ|a.3dli1sdoh2di
ᏔᎷᏣ|ta.2lu23ja
ᎥᏓᎵ|v2da.2li
ᎤᏬᏚᎯ|u.2wo2du4hi
ᏙᏯ|doya
ᎦᏂᏟ|ga.2ni2hli
ᏅᏲᎯ|nv1yo4hi
ᏩᏚᎵᏏ|wa3du2li3si
ᎤᎴᏅᎲ|u1le2nv2hv23?i
