01-chr|Durbin Feeling - Montgomery-Anderson|df
02-chr|Sam Hider - Introduction to Cherokee|sh
03-chr|Betty Smith - Beginning Cherokee|bs
04-chr|Michael Conrad - Cherokee Language Lessons 1|mc
05-chr|Gregg Howard - Cherokee Language Coach|gh
06-chr|Wynema Smith - Cherokee Parenting Phrases|ws
07-chr|Marie Junaluska - Eastern Cherokee Sampler|mj
08-chr|Durbin Feeling - Cherokee Language Coach|df2
09-chr|Durbin Feeling - See Say Write|df3
10-chr|Myrtle Johnson|mdj
cno-spk_0|Anonymous CNO speaker #1|cno-spk_0
cno-spk_1|Anonymous CNO speaker #2|cno-spk_1
cno-spk_2|Anonymous CNO speaker #3|cno-spk_2
cno-spk_3|Anonymous CNO speaker #4|cno-spk_3
