ID	PSET	VSET	PRONOUN	VERB	GENDER		ANSWER
						ạ²chu⁴ja	boy
						ạ²da	wood
						a¹dạ²de³ga	it's bouncing
						a¹dạ²de³ga	he's limping
						a¹dạ²di²³nv³²dị²ha	he's bouncing it
						a¹da³dlo²hị³ha	he's putting on a belt
						ạ²da¹dlo²³sdi	belt
						ạ²da²do²³li³²sdi	prayer
						a¹da²do²³li³²sdị²ha	he's praying
						ạ³dạ²ge⁴ɂi	1. tender  2. very young, new
						ạ²da²geyh²di	love
						ạ²da²³hị²hi	thing that kills
						ạ²da²hlị²ne³sahl²di	purse
						ạ²da²³hneh²di	gift
						a¹dạ²hno³yẹ²ha	he's fanning himself
						ạ²dạ²hno²yo	fan
						a¹da²hwah²tv²hi²³do³²ha	he's visiting
						a¹da²hya³²sdị²ha	he's stretching
						ạ²da²hye⁴sgi	cancer
						a¹dạ²hyị³ha	he's denying him, it
						a¹da²hyo³nẹ²ha	he's committing adultery
						ạ²da²hyo²neh³di	adultery
						ạ²da²hyo²ne⁴hi	adulterer
						a¹da²jạ²gạ²lị³ha	it's ripping
						ạ²da²jvy⁴sgi	something that stings
						a¹da²kẹ³ha	he's looking at himself in a mirror
						ạ²da²keh³di	mirror
						a¹dạ²le²nị³ha	it's beginning
						a¹da²na²ne³sv²hṿ³sga	he's shopping
						a¹da²nạɂ³nv⁴ɂi	store
						a¹dạ²naw³²sdị³ha	he's taking off running
						a¹dạ²ne²³dli³yṿ²ɂa	he, it's changing
						a¹dạ²ne²³dli³yv¹sdị²ha	he's taking turns with him
						ạ²dạ²ne²³dli³yv¹sdi⁴sgi	1. alternate  2. substitute
						a¹da²ne²hlv⁴ɂi	provisions, supplies
						a¹da²ne²³lv⁴ɂi	building
						ạ²danh²do	heart
						a¹danh²tẹ³ha	he's thinking
						ạ²danh²³teh²di	thought
						a¹danh²te²³hi³lọ²ɂa	1. he's pondering it  2. he's considering
						a¹dạ²no²hyv²hlị²sdị³ha	he, it's making noise
						a¹dan²si²³ni	he's crawling
						a¹dạ²nu³te²yọ³ha	it's twisting
						a¹dạɂ³nv²ɂa	he, it's moving from one place to another
						a¹dạ²nv²³sga	he's ordering it
						ạ²da²sdayh¹di⁴i	kitchen
						a¹da²sda³²yv²hv³sga	she's cooking a meal
						ạda²³we³hi	magician
						ạ²da²³we⁴hi	magical
						ạ²dạ²we²³lạ²gi¹sgi	flame
						ạ²dạ²we²lạ²gi¹sgi	gunpowder
						a¹dạ²we³so²lv²³sdị³ha	he's resting
						A²³dạ³wi	Adam
						a¹dạ²wo³ɂa	1. he's bathing  2. he's swimming
						ạ²dạ²wo¹sdi⁴ɂi	swimming pool
						ạ²dạ²yv²³lạ²tṿ²sgi	television
						a¹de³ha	he's giving him a long  object
						a¹de²hloh²gwạ³ɂa	he's learning, he's learning it
						a¹de²ho²³hị³sdị²ha	he's embarrassing him
						a¹de²ho²³sga	he's embarrassed
						a¹de²hṿ³sga	he's being born
						ạ²de²³la	money
						ạ²del²³diyh²di⁴ɂi, ạ²del²³ju²niyh²di⁴i	bank
						ạ²del²³ju²³hlv⁴ɂi	California
						a¹de²lọ²ho²sga	he's finding it out
						ạ³de²lv⁴ɂi	dollars
						a¹de²tṿ³sga	he's diving
						a¹de³yọ²ha	1. he's going around a curve  2. he's turning off the road  3. he's circling it
						a¹de³yọ²hv⁴ɂi	curve
						a¹dị³ɂa	he's laying a long object down
						a¹di²dị³ha	he's rising from a prone position
						a¹di²gạ²le²³yạ³ɂa	he's scattering it
						a¹di²gạ²le²³yo³²ga	it's scattering
						a¹di³gwạ²lv²de³yọ²ha	he, it's spinning, rotating
						a¹dị²ha	he's saying it
						a¹di²³nv³²dị²ha	he's running over him, it
						a¹di²sgạ²hlṿ³sga	he's hiding
						a¹di³²si²yạ³ɂa	he's leaving a long object behind
						ạ²di²³tạ²sdi	something to drink
						a¹di²tạ³sga	he's drinking it
						ạ²di²toh³di	spoon
